date	slope
1962-01-01	1.229033941
1962-02-01	1.108206225
1962-03-01	1.045160986
1962-04-01	1.070258909
1962-05-01	1.201693466
1962-06-01	1.051616719
1962-07-01	1.1252471799999988
1962-08-01	1.1016734500000002
1962-09-01	1.159027161
1962-10-01	1.1707980230000002
1962-11-01	1.0224159139999998
1962-12-01	0.900185156
1963-01-01	0.88303894
1963-02-01	0.98983013699999984
1963-03-01	0.978814555
1963-04-01	0.964851854
1963-05-01	0.87866365100000016
1963-06-01	0.92928229200000032
1963-07-01	0.6575612270000004
1963-08-01	0.53925938099999992
1963-09-01	0.5705095599999996
1963-10-01	0.5551355
1963-11-01	0.50606457800000016
1963-12-01	0.51882318899999992
1964-01-01	0.5591836750000012
1964-02-01	0.49431388199999968
1964-03-01	0.59947735300000104
1964-04-01	0.67653310200000136
1964-05-01	0.67012972600000032
1964-06-01	0.58108222400000024
1964-07-01	0.64319694099999976
1964-08-01	0.64924351400000016
1964-09-01	0.54176749300000136
1964-10-01	0.5056071770000012
1964-11-01	0.25307454799999896
1964-12-01	0.29363438400000108
1965-01-01	0.21166478699999968
1965-02-01	0.10380265399999988
1965-03-01	0.1548980550000012
1965-04-01	0.18941318699999864
1965-05-01	0.2411393289999988
1965-06-01	0.29703141800000044
1965-07-01	0.29221383899999996
1965-08-01	0.29473823299999948
1965-09-01	0.22167749599999988
1965-10-01	0.23567446300000052
1965-11-01	0.26663685599999896
1965-12-01	0.10592226899999968
1966-01-01	0.079898863000000368
1966-02-01	0.40277979399999976
1966-03-01	0.163882246
1966-04-01	0.11950252399999962
1966-05-01	0.15492179399999984
1966-06-01	0.37822053199999936
1966-07-01	0.36155435299999896
1966-08-01	0.32821284599999956
1966-09-01	-0.36234506200000016
1966-10-01	-0.32410856299999936
1966-11-01	-0.08977521300000024
1966-12-01	-0.24272787200000056
1967-01-01	-0.049319161999999752
1967-02-01	0.076632617000000464
1967-03-01	0.2291364370000002
1967-04-01	0.89739190699999984
1967-05-01	1.183616184
1967-06-01	1.161765302
1967-07-01	0.88684635300000016
1967-08-01	0.76582645600000016
1967-09-01	0.77239496999999968
1967-10-01	0.99124706100000016
1967-11-01	0.691820882
1967-12-01	0.49773916299999944
1968-01-01	0.55236285500000016
1968-02-01	0.52608975600000016
1968-03-01	0.51498357000000008
1968-04-01	0.21081365399999984
1968-05-01	0.085686986999999888
1968-06-01	0.38509227900000024
1968-07-01	0.22309853299999992
1968-08-01	0.17403900700000018
1968-09-01	0.26885825599999968
1968-10-01	0.034101377000000708
1968-11-01	0.092605406999999744
1968-12-01	-0.33770762400000008
1969-01-01	-0.21403871399999996
1969-02-01	-0.1769150039999996
1969-03-01	0.011588113000000178
1969-04-01	0.2236077319999996
1969-05-01	0.29624949300000036
1969-06-01	0.15285975200000034
1969-07-01	-0.695113407
1969-08-01	-0.29093486099999932
1969-09-01	0.26480197199999988
1969-10-01	-0.51537477300000048
1969-11-01	-0.77803427399999952
1969-12-01	-1.0953411290000004
1970-01-01	-0.54003611699999968
1970-02-01	0.030440204999999664
1970-03-01	0.673479403
1970-04-01	0.758093359
1970-05-01	0.54390217200000016
1970-06-01	1.1680932779999998
1970-07-01	1.009107255
1970-08-01	1.1242130219999992
1970-09-01	1.3431097589999998
1970-10-01	1.1519672830000002
1970-11-01	1.2055184959999998
1970-12-01	1.2221467179999994
1971-01-01	1.8610547000000004
1971-02-01	2.3454615559999996
1971-03-01	1.683276637
1971-04-01	2.089248202
1971-05-01	1.8658872859999996
1971-06-01	1.5164702229999998
1971-07-01	1.5159865980000004
1971-08-01	1.7974364999999998
1971-09-01	1.247923826
1971-10-01	1.4115317310000002
1971-11-01	1.7972365349999996
1971-12-01	2.148281661
1972-01-01	2.7045145849999996
1972-02-01	2.812498207
1972-03-01	2.3902590880000004
1972-04-01	2.6012866980000004
1972-05-01	2.41135827
1972-06-01	2.188318958
1972-07-01	2.4593630739999996
1972-08-01	1.805581984
1972-09-01	1.844367459
1972-10-01	1.6005529059999998
1972-11-01	1.3782750620000002
1972-12-01	1.1764751089999992
1973-01-01	0.679824354
1973-02-01	0.61776265999999944
1973-03-01	0.063819040000000272
1973-04-01	0.18001386699999954
1973-05-01	-0.23975468899999976
1973-06-01	-0.82835821199999952
1973-07-01	-1.2527360730000004
1973-08-01	-1.7821678030000002
1973-09-01	-0.3996391499999996
1973-10-01	-0.91171809400000032
1973-11-01	-0.92171275000000016
1973-12-01	-0.845424489
1974-01-01	-0.742690799
1974-02-01	-0.85987753100000048
1974-03-01	-1.304833368999999
1974-04-01	-1.3702713409999996
