date	curvature
1962-01-01	0.2446208849999998
1962-02-01	-0.10954147300000016
1962-03-01	-0.351610784
1962-04-01	-0.045855281000000584
1962-05-01	-0.30028461599999988
1962-06-01	-0.18856663499999992
1962-07-01	-0.062705567999998376
1962-08-01	-0.4625978359999996
1962-09-01	-0.57462330300000008
1962-10-01	-0.50775263099999888
1962-11-01	-0.433596294
1962-12-01	-0.40412983199999976
1963-01-01	-0.69942129599999968
1963-02-01	-0.64380652100000016
1963-03-01	-0.55565503699999928
1963-04-01	-0.29711818600000052
1963-05-01	-0.39856277899999968
1963-06-01	-0.44848010800000008
1963-07-01	0.0022337789999999912
1963-08-01	-0.11160252300000018
1963-09-01	-0.18206616999999968
1963-10-01	-0.10135268599999936
1963-11-01	-0.011140485999999506
1963-12-01	0.15236578699999992
1964-01-01	0.12816588699999886
1964-02-01	0.16639359800000086
1964-03-01	0.39095860299999784
1964-04-01	0.28316185799999884
1964-05-01	0.16746612800000004
1964-06-01	-0.088177540000000224
1964-07-01	-0.38214128500000032
1964-08-01	-0.26758845200000004
1964-09-01	-0.15877228100000096
1964-10-01	-0.014860123000000946
1964-11-01	-0.0030243719999987208
1964-12-01	-0.196661564000002
1965-01-01	-0.2339030709999994
1965-02-01	-0.16946236599999764
1965-03-01	-0.087755141000002368
1965-04-01	-0.1079961549999986
1965-05-01	-0.061125502999997752
1965-06-01	-0.16555354400000066
1965-07-01	-0.056810974999999432
1965-08-01	0.02784744099999692
1965-09-01	0.083881177999998608
1965-10-01	0.01019440099999791
1965-11-01	-0.072366609999997776
1965-12-01	0.36706510900000032
1966-01-01	0.14327218300000056
1966-02-01	-0.01830705800000132
1966-03-01	0.090861367999998784
1966-04-01	0.12952134200000032
1966-05-01	0.42989777600000064
1966-06-01	0.48571921199999936
1966-07-01	0.322790491000001
1966-08-01	1.0756677799999998
1966-09-01	0.25174521799999816
1966-10-01	0.22463635299999928
1966-11-01	0.309458201
1966-12-01	0.024189928000000192
1967-01-01	-0.12329393999999994
1967-02-01	-0.029956602999998692
1967-03-01	-0.27786889700000116
1967-04-01	0.22732117099999984
1967-05-01	0.044622027999997368
1967-06-01	0.14597980799999988
1967-07-01	0.4791811850000016
1967-08-01	0.65988749200000104
1967-09-01	0.55819472200000144
1967-10-01	0.8971403810000016
1967-11-01	-0.15722879000000312
1967-12-01	0.63156477700000128
1968-01-01	0.08301797900000096
1968-02-01	0.025357341999999504
1968-03-01	-0.043811588000000512
1968-04-01	-0.17039245999999686
1968-05-01	-0.45966588099999936
1968-06-01	-0.14527306500000136
1968-07-01	-0.59587408099999984
1968-08-01	-0.473518149000002
1968-09-01	-0.3684902680000004
1968-10-01	-0.3144065109999996
1968-11-01	-0.18488596899999976
1968-12-01	0.260671008000001
1969-01-01	-0.15350761599999884
1969-02-01	0.1221774619999998
1969-03-01	-0.25062028500000012
1969-04-01	-0.026934483999999868
1969-05-01	0.23400873900000008
1969-06-01	0.92633223200000176
1969-07-01	0.77799672300000112
1969-08-01	0.68213877500000032
1969-09-01	0.77523062599999904
1969-10-01	0.67684353899999824
1969-11-01	0.37052674599999944
1969-12-01	0.985276615
1970-01-01	0.46516437300000032
1970-02-01	0.0301290010000006
1970-03-01	0.16925778100000066
1970-04-01	0.3003152929999988
1970-05-01	0.77499528199999904
1970-06-01	0.57621641800000136
1970-07-01	0.44571031299999928
1970-08-01	0.12796666400000056
1970-09-01	-0.07803879299999928
1970-10-01	-0.020144021000000124
1970-11-01	-0.792651008
1970-12-01	-0.26184272000000064
1971-01-01	-0.9929438679999976
1971-02-01	-0.67326817200000024
1971-03-01	-0.64946231099999888
1971-04-01	0.41856075000000104
1971-05-01	0.19056104400000072
1971-06-01	0.4537531890000004
1971-07-01	0.016900192000001368
1971-08-01	0.14074081599999922
1971-09-01	0.26501662399999936
1971-10-01	-0.26521790299999992
1971-11-01	-0.42906039100000016
1971-12-01	0.075009883000001664
1972-01-01	0.14517728700000098
1972-02-01	-0.2118245990000016
1972-03-01	0.90756983400000032
1972-04-01	0.3321037440000012
1972-05-01	-0.20522338800000028
1972-06-01	0.449153634
1972-07-01	0.2918436600000014
1972-08-01	0.2442503079999998
1972-09-01	0.42107160499999984
1972-10-01	0.13273865199999868
1972-11-01	-0.0063875620000004576
1972-12-01	0.26027174499999896
1973-01-01	0.21168761799999912
1973-02-01	0.53078601199999832
1973-03-01	0.4895077480000012
1973-04-01	0.33996108500000056
1973-05-01	-0.42276191699999896
1973-06-01	-0.53146565399999976
1973-07-01	0.2530757510000008
1973-08-01	-0.56977017899999896
1973-09-01	-0.3079431760000002
1973-10-01	-0.64657206000000048
1973-11-01	-0.52194356799999928
1973-12-01	-0.84101485699999936
1974-01-01	-1.1928734429999998
1974-02-01	-0.95620555500000032
1974-03-01	-0.3304071430000004
1974-04-01	-0.53897923899999968
1974-05-01	0.041295359999999448
1974-06-01	1.1340218649999994
1974-07-01	1.3240453820000014
1974-08-01	0.19733850899999796
1974-09-01	1.9665030790000008
1974-10-01	0.13483819300000022
1974-11-01	-0.47852529399999888
1974-12-01	0.11349749400000064
1975-01-01	0.5848480699999996
1975-02-01	0.045709332999999576
1975-03-01	0.1439073019999988
1975-04-01	1.5506303310000006
1975-05-01	0.574570778
1975-06-01	1.026620824
1975-07-01	1.452006355
1975-08-01	0.60756884799999968
1975-09-01	1.2407459369999998
1975-10-01	0.3913595250000004
1975-11-01	0.85494543499999936
1975-12-01	0.47016582200000024
1976-01-01	0.077094960000001936
1976-02-01	0.45950342800000144
1976-03-01	1.2761806139999994
